InvoiceNo,Description,Quantity,UnitPrice,CustomerID,InvoiceDate,Country
536399,BEDDING SET DOUBLE,4,39.95,14008,2010-12-18 00:38:20,United Kingdom
536399,CHRISTMAS PLATE SET,4,6.95,14008,2010-12-18 00:38:20,United Kingdom
536399,FLOOR LAMP,3,39.95,14008,2010-12-18 00:38:20,United Kingdom
536399,DINNER PLATE SET,5,14.95,14008,2010-12-18 00:38:20,United Kingdom
536400,W,1,O,14005,2010-12-21 19:17:28,Belgium
536400,W,4,O,14005,2010-12-21 19:17:28,Belgium
536401,WINE GLASS SET,7,10.95,14004,2010-12-23 18:45:13,Netherlands
536401,CHRISTMAS LIGHTS ICICLE,5,3.95,14004,2010-12-23 18:45:13,Netherlands
536402,CHRISTMAS TABLE CLOTH,6,7.95,14009,2010-12-02 01:24:30,Ireland
536403,I,4,R,14006,2010-12-27 01:57:14,Portugal
536403,I,5,R,14006,2010-12-27 01:57:14,Portugal
536403,V,4,A,14006,2010-12-27 01:57:14,Portugal
536403,L,6,A,14006,2010-12-27 01:57:14,Portugal
536404,S,4,E,17850,2010-12-04 02:27:08,United Kingdom
536404,W,7,O,17850,2010-12-04 02:27:08,United Kingdom
536404,W,2,O,17850,2010-12-04 02:27:08,United Kingdom
536404,W,6,O,17850,2010-12-04 02:27:08,United Kingdom
536405,HAND WARMER UNION JACK,2,1.85,14006,2010-12-02 21:14:41,Portugal
536406,PLASTERS IN TIN CARS,3,1.65,14011,2010-12-02 01:09:15,Austria
536406,WINE GLASS SET,10,10.95,14011,2010-12-02 01:09:15,Austria
536407,GLASS STAR FROSTED T-LIGHT HOLDER,4,4.25,14009,2010-12-23 17:49:52,Ireland
536407,STRING OF CHRISTMAS LIGHTS,6,2.95,14009,2010-12-23 17:49:52,Ireland
536407,VACUUM CLEANER,10,99.95,14009,2010-12-23 17:49:52,Ireland
536408,COFFEE MUG BLACK SKULL,3,2.35,14009,2010-12-28 02:15:06,Ireland
536408,SHELVING UNIT,11,69.95,14009,2010-12-28 02:15:06,Ireland
536408,WOODEN FRAME ANTIQUE WHITE,4,5.95,14009,2010-12-28 02:15:06,Ireland
536408,WOODEN FRAME NATURAL,1,5.95,14009,2010-12-28 02:15:06,Ireland
536408,CUSHION SET,3,19.95,14009,2010-12-28 02:15:06,Ireland
536409,NOTEBOOK SET,6,8.95,14008,2010-12-29 23:45:09,United Kingdom
536409,THROW BLANKET,3,24.95,14008,2010-12-29 23:45:09,United Kingdom
536409,CANDLE HOLDER SET,1,6.95,14008,2010-12-29 23:45:09,United Kingdom
536410,METAL HOOK RACK 3 HOOKS CHROME,4,2.95,14002,2010-12-29 23:15:48,Spain
536410,HAND WARMER UNION JACK,3,1.85,14002,2010-12-29 23:15:48,Spain
536410,BATHROOM TOWEL SET,5,14.95,14002,2010-12-29 23:15:48,Spain
536410,METAL HOOK RACK 3 HOOKS WHITE,3,1.95,14002,2010-12-29 23:15:48,Spain
536411,PACK OF 20 BLUE POLKA DOT NAPKINS,4,1.25,14006,2010-12-02 00:12:05,Portugal
536411,FILE FOLDER SET,1,6.95,14006,2010-12-02 00:12:05,Portugal
536411,SALT AND PEPPER SET,4,3.95,14006,2010-12-02 00:12:05,Portugal
536412,WOODEN FRAME NATURAL,4,5.95,14004,2010-12-23 19:19:42,Netherlands
536412,CHRISTMAS TABLE RUNNER,5,5.95,14004,2010-12-23 19:19:42,Netherlands
536412,FLOOR LAMP,12,39.95,14004,2010-12-23 19:19:42,Netherlands
536412,METAL HOOK RACK 3 HOOKS BLACK,2,1.95,14004,2010-12-23 19:19:42,Netherlands
536413,L,3,U,14009,2010-12-18 18:12:13,Ireland
536413,J,9,U,14009,2010-12-18 18:12:13,Ireland
536413,L,1,U,14009,2010-12-18 18:12:13,Ireland
536413,L,5,U,14009,2010-12-18 18:12:13,Ireland
536414,C,1,O,14002,2010-12-23 18:40:55,Spain
536414,M,8,I,14002,2010-12-23 18:40:55,Spain
536414,P,2,A,14002,2010-12-23 18:40:55,Spain
536414,P,1,A,14002,2010-12-23 18:40:55,Spain
536415,PACK OF 12 COLOURED PENCILS,7,1.45,14007,2010-12-22 02:03:09,Australia
536415,PACK OF 60 GREEN PAISLEY CAKE CASES,5,1.25,14007,2010-12-22 02:03:09,Australia
536416,C,2,U,14001,2010-12-26 00:24:28,Germany
536416,L,3,A,14001,2010-12-26 00:24:28,Germany
536416,C,2,U,14001,2010-12-26 00:24:28,Germany
536416,R,9,U,14001,2010-12-26 00:24:28,Germany
536417,PLASTERS IN TIN ORANGE SPOTS,5,1.65,13047,2010-12-06 16:26:28,United Kingdom
536418,C,3,H,14009,2010-12-28 23:04:43,Ireland
536418,C,1,H,14009,2010-12-28 23:04:43,Ireland
536418,C,5,H,14009,2010-12-28 23:04:43,Ireland
536419,TAPE DISPENSER,4,4.95,14007,2010-12-25 01:58:18,Australia
536419,CHRISTMAS GARLAND,5,6.95,14007,2010-12-25 01:58:18,Australia
536419,SET OF 6 SPICE TINS SKETCHBOOK,7,4.95,14007,2010-12-25 01:58:18,Australia
536420,KETTLE,6,29.95,14009,2010-12-12 01:16:01,Ireland
536420,SET 7 BABUSHKA NESTING BOXES,5,7.65,14009,2010-12-12 01:16:01,Ireland
536421,HAIR STRAIGHTENER,4,39.95,17850,2010-12-25 18:30:33,United Kingdom
536421,CHRISTMAS MUG SET,4,5.95,17850,2010-12-25 18:30:33,United Kingdom
536422,L,4,A,14003,2010-12-14 21:20:42,Italy
536422,R,5,U,14003,2010-12-14 21:20:42,Italy
536423,PILLOW SET,4,14.95,17850,2010-12-15 17:20:16,United Kingdom
536423,WHITE HANGING HEART T-LIGHT HOLDER,2,2.55,17850,2010-12-15 17:20:16,United Kingdom
536423,WIRELESS MOUSE,5,24.95,17850,2010-12-15 17:20:16,United Kingdom
536424,J,4,A,14010,2010-12-17 02:28:48,Switzerland
536424,S,11,E,14010,2010-12-17 02:28:48,Switzerland
536425,C,1,U,14007,2010-12-26 19:45:10,Australia
536425,L,2,A,14007,2010-12-26 19:45:10,Australia
536425,C,6,U,14007,2010-12-26 19:45:10,Australia
536426,BOOKSHELF,5,49.95,14002,2010-12-17 20:26:53,Spain
536426,LUNCH BAG RED RETROSPOT,2,4.15,14002,2010-12-17 20:26:53,Spain
536426,CHRISTMAS TREE DECORATION,3,0.95,14002,2010-12-17 20:26:53,Spain
536426,JUMBO BAG SUKI,4,1.95,14002,2010-12-17 20:26:53,Spain
536427,HAIRDRYER,4,29.95,14003,2010-12-31 00:17:52,Italy
536428,CHRISTMAS CRAFT KIT,6,3.95,14011,2010-12-05 23:34:30,Austria
536428,BOWL SET,7,8.95,14011,2010-12-05 23:34:30,Austria
536428,METAL HOOK RACK 5 HOOKS BLACK,7,2.95,14011,2010-12-05 23:34:30,Austria
536429,BATHROOM TOWEL SET,10,14.95,17850,2010-12-11 23:45:58,United Kingdom
536429,ASSORTED COLOUR BIRD ORNAMENT,1,1.69,17850,2010-12-11 23:45:58,United Kingdom
536430,J,3,A,14011,2010-12-28 23:06:33,Austria
536430,J,6,A,14011,2010-12-28 23:06:33,Austria
536430,S,1,E,14011,2010-12-28 23:06:33,Austria
536430,S,6,E,14011,2010-12-28 23:06:33,Austria
536431,ASSORTED COLOUR BIRD ORNAMENT,3,1.69,14011,2010-12-18 22:20:40,Austria
536431,PEN SET,6,4.95,14011,2010-12-18 22:20:40,Austria
536431,BOX OF 6 ASSORTED ALPHABET BLOCKS,2,4.95,14011,2010-12-18 22:20:40,Austria
536431,PACK OF 20 PINK POLKA DOT NAPKINS,6,1.25,14011,2010-12-18 22:20:40,Austria
536431,USB CABLE SET,4,8.95,14011,2010-12-18 22:20:40,Austria
536432,WOODEN FRAME PAINTED GREEN,2,5.95,14000,2010-12-23 20:57:01,France
536433,S,2,E,14001,2010-12-17 22:36:43,Germany
536433,J,11,U,14001,2010-12-17 22:36:43,Germany
536433,L,5,U,14001,2010-12-17 22:36:43,Germany
536433,L,4,U,14001,2010-12-17 22:36:43,Germany
536434,JAM MAKING SET BLUE,6,11.95,14012,2010-12-11 02:34:10,Poland
536434,CHARGER,5,19.95,14012,2010-12-11 02:34:10,Poland
536435,TAPE DISPENSER,6,4.95,14001,2010-12-13 23:06:15,Germany
536435,JAM MAKING SET GREEN,1,11.95,14001,2010-12-13 23:06:15,Germany
536435,SET 7 BABUSHKA NESTING BOXES,6,7.65,14001,2010-12-13 23:06:15,Germany
536436,PLASTERS IN TIN BLUE SPOTS,4,1.65,14010,2010-12-24 16:58:38,Switzerland
536436,SEWING KIT,6,14.95,14010,2010-12-24 16:58:38,Switzerland
536436,WOODEN FRAME PAINTED BLACK,6,5.95,14010,2010-12-24 16:58:38,Switzerland
536437,TEA SET,2,12.95,14008,2010-12-27 18:40:06,United Kingdom
536437,HAND WARMER RED POLKA DOT,5,1.85,14008,2010-12-27 18:40:06,United Kingdom
536437,HAIRDRYER,4,29.95,14008,2010-12-27 18:40:06,United Kingdom
536438,SET OF 6 SPICE TINS SKETCHBOOK,3,4.95,14000,2010-12-07 18:50:34,France
536438,LUNCH BAG CARS RED,4,4.95,14000,2010-12-07 18:50:34,France
536438,PACK OF 72 BLUE SPOT CAKE CASES,2,1.65,14000,2010-12-07 18:50:34,France
536438,CANDLE HOLDER SET,2,6.95,14000,2010-12-07 18:50:34,France
536438,JAM MAKING SET GREEN,6,11.95,14000,2010-12-07 18:50:34,France
536439,S,3,U,14008,2010-12-14 00:23:05,United Kingdom
536439,C,4,O,14008,2010-12-14 00:23:05,United Kingdom
536439,T,5,E,14008,2010-12-14 00:23:05,United Kingdom
536439,C,5,O,14008,2010-12-14 00:23:05,United Kingdom
536440,EARPHONES,1,19.95,14003,2010-12-31 01:14:41,Italy
536440,CHRISTMAS LIGHTS SNOWFLAKE,3,3.95,14003,2010-12-31 01:14:41,Italy
536441,UMBRELLA,6,12.95,14005,2010-12-04 17:15:56,Belgium
536441,PAPER CLIPS,4,1.95,14005,2010-12-04 17:15:56,Belgium
536441,LAMP SHADE,4,12.95,14005,2010-12-04 17:15:56,Belgium
536442,WOODEN FRAME PAINTED BLUE,3,5.95,14007,2010-12-14 20:02:44,Australia
536442,SET/6 RED SPOTTY PAPER CUPS,6,1.25,14007,2010-12-14 20:02:44,Australia
536443,JUMBO BAG RED RETROSPOT,1,1.95,14003,2010-12-02 22:17:12,Italy
536443,KEYBOARD,6,39.95,14003,2010-12-02 22:17:12,Italy
536443,PLASTERS IN TIN WOODLAND ANIMALS,3,1.65,14003,2010-12-02 22:17:12,Italy
536443,POWER BANK,2,29.95,14003,2010-12-02 22:17:12,Italy
536444,LUNCH BAG RED RETROSPOT,3,4.15,13047,2010-12-28 00:13:37,United Kingdom
536444,COFFEE MAKER,5,59.95,13047,2010-12-28 00:13:37,United Kingdom
536444,WHITE HANGING HEART T-LIGHT HOLDER,3,2.55,13047,2010-12-28 00:13:37,United Kingdom
536445,METAL HOOK RACK 5 HOOKS BLACK,12,2.95,13047,2010-12-22 16:08:00,United Kingdom
536445,RED WOOLLY HOTTIE WHITE HEART,1,3.39,13047,2010-12-22 16:08:00,United Kingdom
536445,LUNCH BAG SUKI DESIGN,4,4.15,13047,2010-12-22 16:08:00,United Kingdom
536445,SET OF 12 HEART SHAPED DOILIES,3,0.85,13047,2010-12-22 16:08:00,United Kingdom
536446,JAM MAKING SET PINK,1,11.95,14006,2010-12-19 17:28:32,Portugal
536446,CUP AND SAUCER SET,4,11.95,14006,2010-12-19 17:28:32,Portugal
536446,POWER BANK,1,29.95,14006,2010-12-19 17:28:32,Portugal
536447,COFFEE MUG PINK POLKA DOT,11,2.35,14005,2010-12-23 23:04:57,Belgium
536448,CHRISTMAS CUP SET,6,4.95,14007,2010-12-18 21:24:38,Australia
536448,SET/6 RED SPOTTY PAPER CUPS,5,1.25,14007,2010-12-18 21:24:38,Australia
536448,TAPE DISPENSER,2,4.95,14007,2010-12-18 21:24:38,Australia
536448,COFFEE MUG APPLES DESIGN,2,2.35,14007,2010-12-18 21:24:38,Australia
536449,MOUSE PAD,6,7.95,14004,2010-12-11 23:25:26,Netherlands
536449,PACK OF 72 BLUE SPOT CAKE CASES,1,1.65,14004,2010-12-11 23:25:26,Netherlands
536449,WOODEN FRAME PAINTED YELLOW,2,5.95,14004,2010-12-11 23:25:26,Netherlands
536450,S,6,E,13047,2010-12-14 17:47:47,United Kingdom
536450,S,4,E,13047,2010-12-14 17:47:47,United Kingdom
536450,P,6,A,13047,2010-12-14 17:47:47,United Kingdom
536450,P,5,A,13047,2010-12-14 17:47:47,United Kingdom
536451,I,5,R,14007,2010-12-10 21:06:36,Australia
536451,I,4,R,14007,2010-12-10 21:06:36,Australia
536451,L,5,A,14007,2010-12-10 21:06:36,Australia
536451,V,6,A,14007,2010-12-10 21:06:36,Australia
536452,C,2,A,14006,2010-12-02 01:59:42,Portugal
536452,T,5,E,14006,2010-12-02 01:59:42,Portugal
536452,G,1,L,14006,2010-12-02 01:59:42,Portugal
536452,W,11,H,14006,2010-12-02 01:59:42,Portugal
536453,STRING OF CHRISTMAS LIGHTS,5,2.95,17850,2010-12-04 00:13:24,United Kingdom
536453,PRINTER PAPER,1,8.95,17850,2010-12-04 00:13:24,United Kingdom
536453,METAL HOOK RACK 3 HOOKS WHITE,10,1.95,17850,2010-12-04 00:13:24,United Kingdom
536454,CHRISTMAS LIGHTS ICICLE,7,3.95,17850,2010-12-22 17:17:28,United Kingdom
536454,SET OF 6 SPICE TINS SKETCHBOOK,11,4.95,17850,2010-12-22 17:17:28,United Kingdom
536454,PLASTERS IN TIN CARS,4,1.65,17850,2010-12-22 17:17:28,United Kingdom
536454,PILLOW SET,3,14.95,17850,2010-12-22 17:17:28,United Kingdom
536455,COFFEE MUG ORANGE DESIGN,3,2.35,17850,2010-12-08 22:38:03,United Kingdom
536456,T,4,E,14003,2010-12-04 16:31:47,Italy
536456,R,3,E,14003,2010-12-04 16:31:47,Italy
536456,C,5,E,14003,2010-12-04 16:31:47,Italy
536456,C,6,O,14003,2010-12-04 16:31:47,Italy
536457,C,10,O,14004,2010-12-10 17:25:01,Netherlands
536457,K,1,E,14004,2010-12-10 17:25:01,Netherlands
536457,T,3,O,14004,2010-12-10 17:25:01,Netherlands
536457,B,2,L,14004,2010-12-10 17:25:01,Netherlands
536458,WOODEN FRAME PAINTED WHITE,6,5.95,14003,2010-12-25 18:04:32,Italy
536458,INK CARTRIDGE SET,2,29.95,14003,2010-12-25 18:04:32,Italy
536459,JUMBO BAG PINK POLKA DOT,6,1.95,13047,2010-12-05 20:12:11,United Kingdom
536460,POWER BANK,6,29.95,14005,2010-12-16 01:48:37,Belgium
536460,PHONE CASE,4,14.95,14005,2010-12-16 01:48:37,Belgium
536460,SCISSORS,8,3.95,14005,2010-12-16 01:48:37,Belgium
536460,METAL HOOK RACK 5 HOOKS BLACK,3,2.95,14005,2010-12-16 01:48:37,Belgium
536461,WOODEN FRAME PAINTED RED,1,5.95,14007,2010-12-02 21:32:04,Australia
536462,WOODEN FRAME ANTIQUE WHITE,10,5.95,14008,2010-12-28 17:39:38,United Kingdom
536462,SIDE PLATE SET,2,9.95,14008,2010-12-28 17:39:38,United Kingdom
536462,IRON,4,39.95,14008,2010-12-28 17:39:38,United Kingdom
536462,EARPHONES,6,19.95,14008,2010-12-28 17:39:38,United Kingdom
536463,RUG SMALL,2,19.95,14009,2010-12-04 00:41:11,Ireland
536464,USB CABLE SET,1,8.95,14003,2010-12-12 20:24:26,Italy
536465,LUNCH BAG PINK POLKA DOT,2,4.15,14003,2010-12-05 00:43:24,Italy
536465,METAL HOOK RACK 5 HOOKS CHROME,3,3.95,14003,2010-12-05 00:43:24,Italy
536465,PACK OF 20 SKULL PAPER NAPKINS,6,1.25,14003,2010-12-05 00:43:24,Italy
536466,POWER BANK,6,29.95,14008,2010-12-13 18:38:45,United Kingdom
536466,METAL HOOK RACK 3 HOOKS BLACK,5,1.95,14008,2010-12-13 18:38:45,United Kingdom
536466,COFFEE MUG PINK POLKA DOT,11,2.35,14008,2010-12-13 18:38:45,United Kingdom
536466,UMBRELLA,3,12.95,14008,2010-12-13 18:38:45,United Kingdom
536467,PLASTERS IN TIN PINK SPOTS,5,1.65,17850,2010-12-12 20:11:13,United Kingdom
536467,COFFEE MUG ORANGE DESIGN,1,2.35,17850,2010-12-12 20:11:13,United Kingdom
536468,M,12,E,14006,2010-12-26 00:53:47,Portugal
536468,M,2,E,14006,2010-12-26 00:53:47,Portugal
536468,M,1,E,14006,2010-12-26 00:53:47,Portugal
536468,M,6,E,14006,2010-12-26 00:53:47,Portugal
536469,CUSHION SET,4,19.95,14009,2010-12-08 23:39:18,Ireland
536469,PACK OF 20 BLUE POLKA DOT NAPKINS,2,1.25,14009,2010-12-08 23:39:18,Ireland
536470,RUG LARGE,5,34.95,14003,2010-12-23 01:28:29,Italy
536470,CHRISTMAS TABLE CLOTH,8,7.95,14003,2010-12-23 01:28:29,Italy
536470,LUNCH BAG CARS BLUE,5,4.95,14003,2010-12-23 01:28:29,Italy
536470,MINI PAINT SET VINTAGE,6,0.65,14003,2010-12-23 01:28:29,Italy
536470,SEWING MACHINE,1,149.95,14003,2010-12-23 01:28:29,Italy
536471,C,4,U,14002,2010-12-03 18:17:28,Spain
536471,L,9,A,14002,2010-12-03 18:17:28,Spain
536471,R,4,U,14002,2010-12-03 18:17:28,Spain
536471,C,3,U,14002,2010-12-03 18:17:28,Spain
536472,COFFEE MUG ORANGE DESIGN,8,2.35,14001,2010-12-01 21:59:06,Germany
536472,ASSORTED COLOUR BIRD ORNAMENT,2,1.69,14001,2010-12-01 21:59:06,Germany
536473,W,5,O,14010,2010-12-23 23:28:39,Switzerland
536474,C,8,O,14009,2010-12-21 00:27:07,Ireland
536474,S,1,U,14009,2010-12-21 00:27:07,Ireland
536474,C,5,O,14009,2010-12-21 00:27:07,Ireland
536474,T,3,E,14009,2010-12-21 00:27:07,Ireland
536475,RUG SMALL,1,19.95,14002,2010-12-14 16:39:22,Spain
536476,KNITTED BLUE HOTTIE WHITE HEART,1,3.75,14006,2010-12-19 00:50:32,Portugal
536476,PHONE CASE,1,14.95,14006,2010-12-19 00:50:32,Portugal
536476,CHRISTMAS BAUBLE SET,6,2.95,14006,2010-12-19 00:50:32,Portugal
536476,WOODEN FRAME PAINTED YELLOW,1,5.95,14006,2010-12-19 00:50:32,Portugal
536477,PLASTIC STORAGE BOX,4,4.95,14010,2010-12-19 21:08:02,Switzerland
536477,GLASS SET,2,7.95,14010,2010-12-19 21:08:02,Switzerland
536478,CERAMIC CAKE STAND WITH HANDLE,5,12.95,13047,2010-12-23 23:02:18,United Kingdom
536479,WOODEN FRAME PAINTED GREEN,1,5.95,14004,2010-12-28 00:30:16,Netherlands
536480,TEA SET,4,12.95,14011,2010-12-21 21:17:07,Austria
536480,CHRISTMAS TREE DECORATION,5,0.95,14011,2010-12-21 21:17:07,Austria
536480,METAL HOOK RACK 3 HOOKS CHROME,2,2.95,14011,2010-12-21 21:17:07,Austria
536480,JUMBO BAG WOODLAND,1,2.95,14011,2010-12-21 21:17:07,Austria
536481,L,8,U,14004,2010-12-20 18:34:18,Netherlands
536481,L,1,U,14004,2010-12-20 18:34:18,Netherlands
536481,J,3,U,14004,2010-12-20 18:34:18,Netherlands
536482,D,10,U,14007,2010-12-14 20:40:50,Australia
536482,T,4,H,14007,2010-12-14 20:40:50,Australia
536482,B,2,E,14007,2010-12-14 20:40:50,Australia
536482,P,11,I,14007,2010-12-14 20:40:50,Australia
536483,WOODEN FRAME PAINTED YELLOW,5,5.95,14003,2010-12-12 22:36:02,Italy
536483,COFFEE SET,3,14.95,14003,2010-12-12 22:36:02,Italy
